PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,EPRTRAnnexIMainActivity,FacilityInspireId,facilityName,city,Longitude,Latitude,addressConfidentialityReason,TargetRelease,Pollutant,Releases,confidentialityReason
2026/02/13,Sweden,2020,7.0,Intensive livestock production and aquaculture,7(a)(i),SE.CAED/10017896.Facility,Skåneägg Produktion AB,MÖRARP,12.84955,56.05316,,AIR,Ammonia (NH3),16300.0,
2026/02/13,Denmark,2024,1.0,Energy sector,1(c),DK.CAED/000104665.FACILITY,"Ørsted Bioenergy & Thermal Power A/S, Studstrupvær",Skødstrup,10.34353597045722,56.25139187561966,,AIR,Fluorine and inorganic compounds (as HF),0.0,
2026/02/13,Sweden,2017,5.0,Waste and wastewater management,5(d),SE.CAED/10019785.Facility,Heljestorp avfallsanläggning,VÄNERSBORG,12.24592,58.33426,,AIR,Methane (CH4),670000.0,
2026/02/13,Sweden,2014,1.0,Energy sector,1(c),SE.CAED/10017644.Facility,"Öresundsverket, (ÖVT) - kraftvärme",MALMÖ,13.03997,55.62603,,AIR,Carbon dioxide (CO2),188000000.0,
2026/02/13,Sweden,2009,2.0,Production and processing of metals,2(b),SE.CAED/10022145.Facility,Alleima Tube AB,SANDVIKEN,16.79534,60.6167,,AIR,Nickel and compounds (as Ni),62.0,
2026/02/13,Denmark,2022,5.0,Waste and wastewater management,5(d),DK.CAED/000105130.FACILITY,Køge Deponi,Køge,12.190166057418898,55.47323722370442,,AIR,Methane (CH4),153956.0,
2026/02/13,Denmark,2020,8.0,Animal and vegetable products from the food and beverage sector,8(b)(ii),DK.CAED/000064644.FACILITY,Viking Malt A/S,Vordingborg,11.953409965523509,55.0437729958822,,AIR,Nitrogen oxides (NOX),3620.0,
2026/02/13,Denmark,2023,5.0,Waste and wastewater management,5(d),DK.CAED/000105673.FACILITY,Klintholm I/S,Hesselager,10.797981688537549,55.18354327536586,,AIR,Carbon dioxide (CO2),0.0,
2026/02/13,Sweden,2020,7.0,Intensive livestock production and aquaculture,7(a)(ii),SE.CAED/10019154.Facility,Qvantenburgs säteri AB,MELLERUD,12.57369,58.59723,,AIR,Ammonia (NH3),13200.0,
2026/02/13,Sweden,2014,2.0,Production and processing of metals,2(b),SE.CAED/10014660.Facility,SSAB EMEA AB Oxelösund,OXELÖSUND,17.12562,58.67695,,AIR,Naphthalene,330.0,
2026/02/13,Sweden,2009,3.0,Mineral industry,3(c),SE.CAED/10016795.Facility,"Heidelberg Materials Cement Sverige AB, Slitefabriken",SLITE,18.80539,57.71172,,AIR,Nitrogen oxides (NOX),912000.0,
2026/02/13,Sweden,2018,5.0,Waste and wastewater management,5(b),SE.CAED/10019386.Facility,Sävenäs,GÖTEBORG,12.05243,57.73201,,AIR,Nitrous oxide (N2O),31100.0,
2026/02/13,Norway,2013,2.0,Production and processing of metals,2(e)(i),NO.EEA/1824.0013.01.FACILITY,Alcoa Mosjøen,Mosjøen,13.1902637,65.8471146,,AIR,Nickel and compounds (as Ni),259.0,
2026/02/13,Denmark,2018,5.0,Waste and wastewater management,5(b),DK.CAED/000109842.FACILITY,Hammel Fjernvarme A M B A,Hammel,9.859986250687792,56.2384452823877,,AIR,Chlorine and inorganic compounds (as HCl),93.0,
2026/02/13,Denmark,2022,1.0,Energy sector,1(c),DK.CAED/000062156.FACILITY,Fjernvarme Fyn Produktion A/S,Odense C,10.405211661181568,55.42782102817274,,AIR,Nitrogen oxides (NOX),113360.0,
